PASS ios lobby: gate reproduces recorded verdict (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 0 <= 2 (group 0 <= 3))
PASS ios lobby: erased 16x16 logical px element at 184,112 is caught (blocks 40 <= 2 (group 40 <= 3); core 134 <= 2 (group 134 <= 3); density 8 <= 2 (group 8 <= 3))
PASS ios lobby: erased 24x24 logical px element at 136,152 is caught (blocks 100 <= 2 (group 100 <= 3); core 403 <= 2 (group 403 <= 3); density 9 <= 2 (group 9 <= 3))
PASS ios lobby: 80x14 logical px strip at 56,184 moved 3 px is caught (blocks 2 <= 2 (group 1 <= 3); core 17 <= 2 (group 7 <= 3); density 0 <= 2 (group 0 <= 3))
PASS ios lobby: 80x14 logical px strip at 56,184 moved 4 px is caught (blocks 7 <= 2 (group 2 <= 3); core 22 <= 2 (group 7 <= 3); density 0 <= 2 (group 0 <= 3))
PASS ios lobby: 40x16 logical px recolour at 96,112 is caught (blocks 44 <= 2 (group 18 <= 3); core 226 <= 2 (group 226 <= 3); density 10 <= 2 (group 10 <= 3))
PASS ios results: gate reproduces recorded verdict (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 0 <= 2 (group 0 <= 3))
PASS ios results: erased 16x16 logical px element at 480,1344 is caught (blocks 22 <= 2 (group 20 <= 3); core 43 <= 2 (group 43 <= 3); density 4 <= 2 (group 4 <= 3))
PASS ios results: erased 24x24 logical px element at 632,216 is caught (blocks 84 <= 2 (group 84 <= 3); core 193 <= 2 (group 193 <= 3); density 8 <= 2 (group 8 <= 3))
PASS ios results: 80x14 logical px strip at 232,696 moved 3 px is caught (blocks 6 <= 2 (group 2 <= 3); core 6 <= 2 (group 6 <= 3); density 0 <= 2 (group 0 <= 3))
PASS ios results: 80x14 logical px strip at 232,696 moved 4 px is caught (blocks 28 <= 2 (group 4 <= 3); core 18 <= 2 (group 12 <= 3); density 5 <= 2 (group 3 <= 3))
PASS ios results: 40x16 logical px recolour at 592,240 is caught (blocks 61 <= 2 (group 47 <= 3); core 170 <= 2 (group 135 <= 3); density 11 <= 2 (group 11 <= 3))
PASS ios home: gate reproduces recorded verdict (blocks 0 <= 2 (group 0 <= 3); core 0 <= 2 (group 0 <= 3); density 0 <= 2 (group 0 <= 3))
PASS ios home: erased 16x16 logical px element at 328,1992 is caught (blocks 18 <= 2 (group 15 <= 3); core 19 <= 2 (group 13 <= 3); density 3 <= 2 (group 3 <= 3))
PASS ios home: erased 24x24 logical px element at 592,1616 is caught (blocks 72 <= 2 (group 72 <= 3); core 166 <= 2 (group 166 <= 3); density 9 <= 2 (group 9 <= 3))
PASS ios home: 80x14 logical px strip at 664,1168 moved 3 px is caught (blocks 9 <= 2 (group 1 <= 3); core 3 <= 2 (group 3 <= 3); density 12 <= 2 (group 7 <= 3))
PASS ios home: 80x14 logical px strip at 664,1168 moved 4 px is caught (blocks 35 <= 2 (group 6 <= 3); core 47 <= 2 (group 15 <= 3); density 17 <= 2 (group 17 <= 3))
PASS ios home: 40x16 logical px recolour at 504,1248 is caught (blocks 13 <= 2 (group 4 <= 3); core 24 <= 2 (group 13 <= 3); density 10 <= 2 (group 10 <= 3))
